condition,post_index,comment_imbalance_mean,participation_rate_A_mean,participation_rate_B_mean,participation_gap_mean,mean_confidence_A_mean,mean_confidence_B_mean,mean_willingness_A_mean,mean_willingness_B_mean,conformity_rate_mean,silence_streak_mean_mean,silence_streak_max_mean,silence_streak_pct_ge_5_mean,cascade_flag_mean,comment_imbalance_std,participation_rate_A_std,participation_rate_B_std,participation_gap_std,mean_confidence_A_std,mean_confidence_B_std,mean_willingness_A_std,mean_willingness_B_std,conformity_rate_std,silence_streak_mean_std,silence_streak_max_std,silence_streak_pct_ge_5_std,cascade_flag_std,cascade_probability
treatment1,2,0.21082960691277855,0.41950000000000004,0.383,0.0365,0.5059109163533614,0.49413503480435594,0.512614523691872,0.48680897161336284,0.08135167529532476,0.9727499999999999,2.0,0.0,0.15,0.09600976263163923,0.05762629151424036,0.034043316060881214,0.06183807377676841,0.0028387593313474184,0.0026764663008768054,0.00527651066758206,0.005651179494439623,0.050539833688992196,0.06308880541285473,0.0,0.0,0.36634754853252327,0.15
treatment1,3,0.22494614850667696,0.4285,0.3805,0.048,0.5093480998807305,0.49068726515760597,0.5199199857886831,0.479434029185238,0.0805739850267589,1.1952500000000001,3.0,0.0,0.15,0.08458902873226698,0.04625728961045234,0.048717769372494654,0.07633720207770672,0.003170694030960029,0.003020025795808559,0.00607428001728114,0.006011707939345897,0.029155258103914936,0.0827404788607442,0.0,0.0,0.36634754853252327,0.15
treatment1,4,0.21292303544507027,0.4255,0.395,0.0305,0.5125480969029612,0.4875948432406226,0.5260444889667257,0.4733098220122276,0.08033893740940057,1.338,4.0,0.0,0.2,0.11155028165188326,0.05871205381485045,0.05385164807134505,0.0920797709083071,0.0037515901640222233,0.0034729148360794124,0.007587075019056031,0.007093586687031049,0.029455668317333605,0.1108626461698866,0.0,0.0,0.4103913408340616,0.2
treatment1,5,0.23987099042709276,0.445,0.377,0.068,0.515612968176386,0.48454211077937337,0.5324992892380849,0.4669367359222928,0.08161520631420652,1.44975,5.0,0.10875000000000001,0.25,0.10270584326402858,0.049257647015196374,0.04496782475457194,0.07977600219562139,0.004345675445025978,0.00434367251316985,0.009953687105914537,0.008360128054480897,0.031472234928309153,0.09447186994299582,0.0,0.020188258703357363,0.4442616583193193,0.25
treatment1,6,0.2199176647612327,0.4135,0.36550000000000005,0.047999999999999994,0.5187963963792382,0.48140833282169365,0.5390475966928154,0.46009734198431695,0.07797768079527384,1.5682500000000001,6.0,0.10600000000000001,0.25,0.1300642469207564,0.051735664172487636,0.049361715401396056,0.07338435226868693,0.00543325949055538,0.00547903114213517,0.012035173210671008,0.010620516261594808,0.041268837437281804,0.11673491111781516,0.0,0.02055800522782715,0.44426165831931924,0.25
treatment1,7,0.22182399238605804,0.42000000000000004,0.382,0.038,0.5221019769268123,0.4781283679572071,0.5459742044707105,0.4530313269071379,0.0888988445836,1.6355,7.0,0.11074999999999999,0.2,0.09801349425980463,0.05457973404498278,0.055402831012598325,0.07480500968307009,0.006097803590463834,0.006185483929403629,0.01342239720435326,0.011580226088687699,0.026504268056002776,0.15747096641336106,0.0,0.017265344052846382,0.41039134083406165,0.2
treatment1,8,0.2538421370137837,0.44699999999999995,0.3585,0.0885,0.5257308153971888,0.474460706661355,0.5537876441984836,0.4448682916510478,0.07982537878146778,1.6647500000000002,8.0,0.11125,0.3,0.09883756033128646,0.04691537734665413,0.05214100315995383,0.05363374821293419,0.006532689359781181,0.0066240191923193584,0.014192886230452947,0.012710574642532103,0.029818863004881152,0.17456317661975262,0.0,0.01897886636290621,0.47016234598162726,0.3
treatment1,9,0.28168514739150885,0.4575,0.353,0.1045,0.5295023428472962,0.47064517706537234,0.5615776357593077,0.4367848643787874,0.07931034864737953,1.70675,9.0,0.11474999999999999,0.55,0.12607867643394824,0.047225662069416634,0.043419617201153865,0.0735187051028512,0.007411756036655851,0.007545770339054841,0.016604768249734926,0.015266290539390229,0.03235015193895163,0.16265296444302899,0.0,0.019226831580673374,0.5104177855340404,0.55
treatment1,10,0.2470541162423531,0.42699999999999994,0.333,0.094,0.533065771038431,0.4670559430393964,0.5686336843545352,0.42951716970572906,0.06930197588132385,1.7747499999999998,10.0,0.119,0.35,0.12082939059725582,0.048460510239075896,0.04910782979697251,0.07443824710173493,0.00825887677965537,0.008406646771546357,0.017692836618127962,0.01637139724332901,0.02468486467691041,0.1581594382094753,0.0,0.021001253095445215,0.4893604849295929,0.35
treatment1,11,0.32501599923985813,0.4915,0.351,0.1405,0.5374586685103486,0.4626778291889243,0.5785570882861689,0.41915644174258687,0.07728484628946063,1.72275,10.9,0.1135,0.6,0.09527406801894384,0.04392277912787156,0.058029030847090934,0.06581273273063262,0.008988441855489693,0.00899432866640664,0.0182381445097835,0.01813061582112972,0.03136450926165855,0.21307569077677535,0.44721359549995787,0.025807995497111887,0.5026246899500346,0.6
treatment1,12,0.3028185694529247,0.4405,0.3305,0.10999999999999999,0.5414890921903683,0.4586538117764314,0.5864224220041758,0.4111916156350097,0.08133707333522301,1.7830000000000001,11.7,0.11775,0.6,0.11024478080931746,0.05266327992663938,0.04695742752749558,0.07718740011713118,0.00913319999209478,0.009136013000698159,0.018658094239733802,0.01848471322015587,0.02794323580992084,0.2022596038966285,0.6569466853317864,0.02484027925938456,0.5026246899500346,0.6
treatment1,13,0.20750224097000322,0.453,0.392,0.06100000000000001,0.5448317401558196,0.45528480339504657,0.5929783996853263,0.40457784314445144,0.07522031131090332,1.72775,12.55,0.10874999999999999,0.2,0.11191274549974822,0.05639148871948675,0.03914883879436743,0.06995487267178975,0.009111636651462252,0.009447556472276047,0.01988967474236062,0.019239660128154396,0.028221789529353378,0.19814584607250654,0.7591546545162482,0.025745464598030097,0.41039134083406165,0.2
treatment1,14,0.28535121188866214,0.446,0.3255,0.12050000000000001,0.548345451950419,0.45179967549177436,0.6004664628218693,0.396796559788004,0.06997367765860017,1.79875,13.4,0.11499999999999999,0.55,0.1561442354616933,0.0661258767726173,0.05762629151424035,0.0972503551610346,0.009526477048409487,0.009711795389827143,0.019978287008677386,0.020187764432274633,0.03467992701530627,0.21113026036574026,0.9403246919632545,0.028377159087807524,0.5104177855340404,0.55
treatment1,15,0.25437284214271133,0.4585,0.3465,0.11199999999999999,0.5521284787081544,0.44805729160170077,0.6085382153006422,0.38865612820855144,0.05669574591657659,1.7737500000000002,14.1,0.11174999999999999,0.4,0.12057591312704853,0.06037383539249432,0.06482973651683388,0.09725711988549246,0.010070038754886991,0.0101015801888287,0.02105532210632125,0.021331837845218662,0.028483312737995915,0.16252833761014046,1.165287405253359,0.020344079702639992,0.5026246899500345,0.4
treatment1,16,0.3209843349501565,0.47800000000000004,0.3345,0.14350000000000002,0.556302415654311,0.4438251017133257,0.6175932115413679,0.37945904508477246,0.07188727839597431,1.7712499999999998,14.75,0.11100000000000002,0.55,0.1303869474145044,0.049161388357766705,0.04570788254027733,0.06861601777090275,0.010370375209736023,0.010536251006054426,0.021700986427722526,0.021296603363286565,0.033839055557868744,0.1251512243143007,1.5174424466672098,0.015269508660623042,0.5104177855340405,0.55
treatment1,17,0.28583159307165384,0.47400000000000003,0.33199999999999996,0.14200000000000002,0.5601354453463157,0.43997633339287506,0.6250977649964227,0.37181351043994637,0.061066957411323355,1.778,15.25,0.11174999999999999,0.55,0.11018705745830731,0.04816637831516919,0.03901416746718934,0.06653847323956744,0.010735133620177022,0.010886874051894539,0.022938707211668973,0.021917127626993212,0.024196709190864613,0.16801002476356178,1.8317377426626162,0.018797746225489236,0.5104177855340405,0.55
treatment1,18,0.2905293693763668,0.47800000000000004,0.3415,0.1365,0.5639597258341941,0.4361500033713628,0.633155930444126,0.36348841306022367,0.06660304227548604,1.761,15.0,0.11325,0.5,0.12202062406732662,0.06152449234162552,0.04270769682880419,0.08171033562144032,0.01084806184091543,0.011065081394372397,0.023431353736605914,0.02158091692797249,0.03147918224753365,0.1732552118149773,2.675424216239755,0.017112245538456403,0.512989176042577,0.5
treatment1,19,0.3100480429548435,0.4765,0.3265,0.15,0.568176323390823,0.43197144077371463,0.6420960164378101,0.35426451058022723,0.061099262638916726,1.7934999999999999,15.6,0.11299999999999999,0.5,0.10492289966509313,0.050915306353322,0.04625728961045234,0.0611297154030931,0.011425997227904865,0.011537923202072796,0.024356555009182154,0.022787678191369756,0.02270343311444104,0.14096565464493008,3.0157481397002077,0.014903196407411893,0.512989176042577,0.5
treatment1,20,0.3307534662835222,0.46749999999999997,0.32,0.14750000000000002,0.5725151137051612,0.4276607506774718,0.6510467908094005,0.3451143065717072,0.0720199303127175,1.85425,16.4,0.11274999999999999,0.7,0.09418098953081538,0.062565754884046,0.04746189607408631,0.07107260927722918,0.012067987637159706,0.012105041911838862,0.025509078133088434,0.02383437333775591,0.02831171667404465,0.17429765073755746,2.909150717088553,0.015683967677385186,0.47016234598162726,0.7
