post_index,comment_imbalance,participation_rate_A,participation_rate_B,participation_gap,mean_confidence_A,mean_confidence_B,mean_willingness_A,mean_willingness_B,conformity_rate,silence_streak_mean,silence_streak_max,silence_streak_pct_ge_5,cascade_flag
28,0.2530120481927711,0.36,0.47,-0.10999999999999999,0.47494691872057876,0.5200400245067217,0.44186943591573163,0.5452886594433792,0.060240963855421686,1.565,11,0.1,0
29,0.022727272727272707,0.4,0.48,-0.07999999999999996,0.474249812833622,0.5204981994806331,0.44223729905262865,0.5449259169135066,0.03409090909090909,1.6,12,0.09,0
30,0.23913043478260865,0.43,0.49,-0.06,0.47265473529258123,0.5219479257317148,0.4371877590559089,0.5492686132095027,0.08695652173913043,1.525,12,0.095,0
31,0.0714285714285714,0.4,0.44,-0.03999999999999998,0.47289953005576846,0.5214659878371976,0.4403122428332245,0.5464796394560814,0.05952380952380952,1.475,13,0.105,0
32,0.12328767123287676,0.37,0.36,0.010000000000000009,0.4719674849458491,0.5223892900778468,0.436061726003226,0.5501332706213228,0.0684931506849315,1.73,14,0.115,0
33,0.16049382716049387,0.36,0.45,-0.09000000000000002,0.4710325817970834,0.5229203107014131,0.4347315453737345,0.550904505842144,0.04938271604938271,1.59,15,0.07,0
34,0.06329113924050622,0.39,0.4,-0.010000000000000009,0.4715593158806125,0.5222737708614852,0.4372717013510521,0.5485744909844569,0.0379746835443038,1.575,10,0.09,0
35,0.08433734939759047,0.42,0.41,0.010000000000000009,0.4712181386654133,0.5226578789164046,0.4344521480491239,0.5505899322099247,0.04819277108433735,1.385,10,0.065,0
36,0.17647058823529416,0.36,0.49,-0.13,0.4696187178132767,0.5240117090105505,0.4299380321714363,0.5541755252625253,0.011764705882352941,1.455,11,0.08,0
37,0.12000000000000005,0.35,0.4,-0.050000000000000044,0.4688771513265534,0.5244659301185315,0.4294494214450109,0.5542440082538587,0.05333333333333334,1.585,12,0.09,0
38,0.15662650602409633,0.4,0.43,-0.02999999999999997,0.47062584886334285,0.5225986362119024,0.4357478943407922,0.5483134105892453,0.0963855421686747,1.64,13,0.095,0
39,0.21621621621621623,0.32,0.42,-0.09999999999999998,0.46971941037098147,0.5235231437948571,0.42989106432762186,0.5533607282755798,0.04054054054054054,1.575,8,0.09,0
40,0.23595505617977525,0.38,0.51,-0.13,0.4678328015206193,0.5250250051087231,0.4258840172376007,0.5564898993051921,0.0449438202247191,1.5,9,0.11,0
